15	THE PRELUDE
7.1.29	<xref n="Mohl 7.1.28"/>The Story of the Birth of <persName>Rustam</persName>
7.1.30	<xref n="Mohl 7.1.29"/>How <persName>Sam</persName> came to see <persName>Rustam</persName>
7.1.31	<xref n="Mohl 7.1.30"/>How <persName>Rustam</persName> slew the White Elephant
7.1.32	<xref n="Mohl 7.1.31"/>How <persName>Rustam</persName> went to <placeName>Mount Sipand</placeName>
7.1.33	<xref n="Mohl 7.1.32"/>How <persName>Rustam</persName> wrote a Letter announcing his Victory to <persName>Zal</persName>
7.1.34	<xref n="Mohl 7.1.33"/>The Letter of <persName>Zal</persName> to <persName>Sam</persName>
7.1.35	<xref n="Mohl 7.1.34"/><persName>Minuchihr</persName>'s last Counsels to his Son
8.1.1	<xref n="Mohl 8.1.1"/>How <persName>Naudar</persName> succeeded to the Throne
8.1.2	<xref n="Mohl 8.1.2"/>How <persName>Pashang</persName> heard of the Death of <persName>Minuchihr</persName>
8.1.3	<xref n="Mohl 8.1.3"/>How <persName>Afrasiyab</persName> came to the Land of <placeName>Iran</placeName>
8.1.4	<xref n="Mohl 8.1.4"/>How <persName>Barman</persName> and <persName>Kubad</persName> fought together and how <persName>Kubad</persName> was slain
8.1.5	<xref n="Mohl 8.1.5"/>How <persName>Afrasiyab</persName> fought with <persName>Naudar</persName> the second Time
8.1.6	<xref n="Mohl 8.1.6"/>flow <persName>Naudar</persName> fought with <persName>Afrasiyab</persName> the third Time
8.1.7	<xref n="Mohl 8.1.7"/>How <persName>Naudar</persName> was taken by <persName>Afrasiyab</persName>
8.1.8	<xref n="Mohl 8.1.8"/>How <persName>Wisa</persName> found his Son that had been slain
8.1.9	<xref n="Mohl 8.1.9"/>How <persName>Shamasas</persName> and <persName>Khazarwan</persName> invaded <placeName>Zabulistan</placeName>
8.1.10	<xref n="Mohl 8.1.10"/>How <persName>Zal</persName> came to help <persName>Mihrab</persName>
8.1.11	<xref n="Mohl 8.1.11"/>How <persName>Naudar</persName> was slain by <persName>Afrasiyab</persName>
8.1.12	<xref n="Mohl 8.1.12"/>How <persName>Zal</persName> had Tidings of the Death of <persName>Naudar</persName>
8.1.13	<xref n="Mohl 8.1.13"/>How <persName>Ighriras</persName> was slain by his Brother
9.1.1	<persName>Zav</persName> is elected <rs type="role">Shah</rs>
10.1.1	How <persName>Garshasp</persName> suceeeded to the Throne and died, and how <persName>Afrasiyab</persName> invaded <placeName>Iran</placeName>.
10.1.2	<xref n="Mohl 10.1.1"/>How <persName>Rustam</persName> caught <rs type="horse">Rakhsh</rs>
10.1.3	<xref n="Mohl 10.1.2"/>How <persName>Zal</persName> led the Host against <persName>Afrasiyab</persName>
10.1.4	<xref n="Mohl 10.1.3"/>How <persName>Rustam</persName> brought <persName>Kai Kubad</persName> from <placeName>Mount Alburz</placeName>
11.1.1	How <persName>Kai Kubad</persName> ascended the Throne and warred against <placeName>Turan</placeName>
11.1.2	<xref n="Mohl 11.1.1"/>How <persName>Rustam</persName> fought with <persName>Afrasiyab</persName>
11.1.3	<xref n="Mohl 11.1.2"/>How <persName>Afrasiyab</persName> came to his Father
11.1.4	<xref n="Mohl 11.1.3"/>How <persName>Pashang</persName> sued to <persName>Kai Kubad</persName> for Peace
11.1.5	<xref n="Mohl 11.1.4"/>How <persName>Kai Kubad</persName> came to <placeName>Istakhr</placeName> of <placeName>Pars</placeName>
12.1.1	The Prelude
12.1.2	How <persName>Kaus</persName> sat upon the Throne and was tempted to invade <placeName>Mazandaran</placeName>
12.1.3	<xref n="Mohl 12.1.1"/>How <persName>Zal</persName> gave Counsel to <persName>Kaus</persName>
12.1.4	<xref n="Mohl 12.1.2"/>How <persName>Kaus</persName> went to <placeName>Mazandaran</placeName>
12.1.5	<xref n="Mohl 12.1.3"/>The Message of <persName>Kai Kaus</persName> to <persName>Zal</persName> and <persName>Rustam</persName>
12.1.6	The First Course: How <rs type="horse">Rakhsh</rs> fought with a Lion
12.1.7	<xref n="Mohl 12.1.4"/>The second course: How <persName>Rustam</persName> found a Spring
12.1.8	<xref n="Mohl 12.1.5"/>The third course: how <persName>Rustam</persName> fought with a <rs type="mythologicalcreature">Dragon</rs>
12.1.9	The fourth course: how <persName>Rustam</persName> slew a Witch
12.1.10	The fifth course: How <persName>Rustam</persName> took <rs type="divinity">Ulad</rs> captive
12.1.11	The sixth course: <persName>Rustam</persName> fought with the <rs type="divinity">Div</rs> <rs type="divinity">Arzhang</rs>
12.1.12	The seventh course: how <persName>Rustam</persName> slew the White <rs type="divinity">Div</rs>
12.1.13	<xref n="Mohl 12.1.6"/>How <persName>Kaus</persName> wrote to the King of <placeName>Mazandaran</placeName>
12.1.14	<xref n="Mohl 12.1.7"/>How <persName>Rustam</persName> went on an Embassy to the King of <placeName>Mazandaran</placeName>
12.1.15	<xref n="Mohl 12.1.8"/>How <persName>Kaus</persName> fought with the King of <placeName>Mazandaran</placeName>
12.1.16	<xref n="Mohl 12.1.9"/>How <persName>Kaus</persName> returned to the Land of <placeName>Iran</placeName> and <sic>farewelled</sic> <persName>Rustam</persName>
12.2.1	<xref n="Mohl 12.2.10"/>How <persName>Kai Kaus</persName> warred with the King of <placeName>Hamavaran</placeName>
12.2.2	<xref n="Mohl 12.2.11"/>How <persName>Kaus</persName> asked to Wife <persName>Sudaba</persName>, the Daughter of the King of <placeName>Hamavaran</placeName>
12.2.3	<xref n="Mohl 12.2.12"/>How the King of <placeName>Hamavaran</placeName> made <persName>Kaus</persName> Prisoner
12.2.4	<xref n="Mohl 12.2.13"/>How <persName>Afrasiyab</persName> invaded the Land of <placeName>Iran</placeName>
12.2.5	<xref n="Mohl 12.2.14"/>How <persName>Rustam</persName> sent a Message to the King of <placeName>Hamavaran</placeName>
12.2.6	<xref n="Mohl 12.2.15"/>How <persName>Rustam</persName> fought with Three Kings and delivered <persName>Kaus</persName>
12.2.7	<xref n="Mohl 12.2.16"/>How <persName>Kaus</persName> sent a Message to <persName>Afrasiyab</persName>
12.2.8	<xref n="Mohl 12.2.17"/>How <persName>Kaus</persName> ordered the World
12.2.9	<xref n="Mohl 12.2.18"/>How <persName>Kaus</persName>, beguiled by <rs type="divinity">Iblis</rs>, ascended the Sky
12.2.10	<xref n="Mohl 12.2.19"/>How <persName>Rustam</persName> brought back <persName>Kaus</persName>
12.2.11	<xref n="Mohl 12.2.20"/>How <persName>Rustam</persName> went with the Seven Warriors to the Hunting-ground of <persName>Afrasiyab</persName>
12.2.12	<xref n="Mohl 12.2.21"/>How <persName>Rustam</persName> fought with the <rs type="ethnic">Turanians</rs>
12.2.13	<xref n="Mohl 12.2.22"/>How <persName>Pilsam</persName> fought with the <rs type="ethnic">Iranians</rs>
12.2.14	<xref n="Mohl 12.2.24"/>How <persName>Afrasiyab</persName> fled from the Battlefield
12.3.1	<xref n="Mohl 12.3.25"/>The Prelude
12.3.2	<xref n="Mohl 12.3.26"/>How <persName>Rustam</persName> went to the Chase
12.3.3	<xref n="Mohl 12.3.27"/>How <persName>Rustam</persName> came to the City of <placeName>Samangan</placeName>
12.3.4	<xref n="Mohl 12.3.28"/>How <persName>Tahmina</persName>, the Daughter of the King of <placeName>Samangan</placeName>, came to <persName>Rustam</persName>
12.3.5	<xref n="Mohl 12.3.29"/>The Birth of <persName>Suhrab</persName>
12.3.6	<xref n="Mohl 12.3.30"/>How <persName>Suhrab</persName> chose his Charger
12.3.7	<xref n="Mohl 12.3.31"/>How <persName>Afrasiyab</persName> sent <persName>Bahman</persName> and <persName>Human</persName> to <persName>Suhrab</persName>
12.3.8	<xref n="Mohl 12.3.32"/>How <persName>Suhrab</persName> came to <placeName>White Castle</placeName>
12.3.9	<xref n="Mohl 12.3.33"/>How <persName>Suhrab</persName> fought with <persName>Gurdafrid</persName>
12.3.10	<xref n="Mohl 12.3.34"/>The Letter of <persName>Gazhdaham</persName> to <persName>Kaus</persName>
12.3.11	<xref n="Mohl 12.3.35"/>How <persName>Suhrab</persName> took <placeName>White Castle</placeName>
12.3.12	<xref n="Mohl 12.3.36"/>How <persName>Kaus</persName> wrote to <persName>Rustam</persName> and summoned him from <placeName>Zabulistan</placeName>
12.3.13	<xref n="Mohl 12.3.37"/>How <persName>Kaus</persName> was wroth with <persName>Rustam</persName>
12.3.14	<xref n="Mohl 12.3.38"/>How <persName>Kaus</persName> and <persName>Rustam</persName> led forth the Host
12.3.15	<xref n="Mohl 12.3.39"/>How <persName>Rustam</persName> slew <persName>Zhanda Razm</persName>
12.3.16	<xref n="Mohl 12.3.40"/>How <persName>Suhrab</persName> asked <persName>Hajir</persName> the Names of the Chiefs of <placeName>Iran</placeName>
12.3.17	<xref n="Mohl 12.3.41"/>How <persName>Suhrab</persName> attacked the Army of <persName>Kaus</persName>
12.3.18	<xref n="Mohl 12.3.42"/>How <persName>Rustam</persName> fought with <persName>Suhrab</persName>
12.3.19	<xref n="Mohl 12.3.43"/>How <persName>Rustam</persName> and <persName>Suhrab</persName> returned to Camp
12.3.20	<xref n="Mohl 12.3.44"/>How <persName>Suhrab</persName> overthrew <persName>Rustam</persName>
12.3.21	<xref n="Mohl 12.3.45"/>How <persName>Suhrab</persName> was slain by <persName>Rustam</persName>
12.3.22	<xref n="Mohl 12.3.46"/>How <persName>Rustam</persName> asked <persName>Kaus</persName> for an Elixir
12.3.23	<xref n="Mohl 12.3.47"/>How <persName>Rustam</persName> lamented for <persName>Suhrab</persName>
12.3.24	<xref n="Mohl 12.3.48"/>How <persName>Rustam</persName> returned to <placeName>Zabulistan</placeName>
12.3.25	<xref n="Mohl 12.3.49"/>How <persName>Suhrab</persName>’s Mother received the Tidings of his Death
12.4.1	<xref n="Mohl 12.4.50"/>The Prelude
12.4.2	<xref n="Mohl 12.4.51"/>The Story of the Mother of <persName>Siyawush</persName>
12.4.3	<xref n="Mohl 12.4.52"/>The Birth of <persName>Siyawush</persName>
12.4.4	<xref n="Mohl 12.4.53"/>How <persName>Siyawush</persName> arrived from <placeName>Zabulistan</placeName>
12.4.5	<xref n="Mohl 12.4.54"/>The Death of the Mother of <persName>Siyawush</persName>
12.4.6	<xref n="Mohl 12.4.55"/>How <persName>Sudaba</persName> fell in Love with <persName>Siyawush</persName>
12.4.7	<xref n="Mohl 12.4.56"/>How <persName>Siyawush</persName> visited <persName>Sudaba</persName>
12.4.8	<xref n="Mohl 12.4.57"/>How <persName>Siyawush</persName> visited the Bower the second Time
12.4.9	<xref n="Mohl 12.4.58"/>How <persName>Siyawush</persName> visited the Bower the third Time
12.4.10	<xref n="Mohl 12.4.59"/>How <persName>Sudaba</persName> beguiled <persName>Kaus</persName>
12.4.11	<xref n="Mohl 12.4.60"/>How <persName>Sudaba</persName> and a Sorceress devised a Scheme
12.4.12	<xref n="Mohl 12.4.61"/>How <persName>Kaus</persName> inquired into the Matter of the Babes
12.4.13	<xref n="Mohl 12.4.62"/>How <persName>Siyawush</persName> passed through the Fire
12.4.14	<xref n="Mohl 12.4.63"/>How <persName>Siyawush</persName> begged <persName>Sudaba</persName>’s Life of his Father
12.4.15	<xref n="Mohl 12.4.64"/>How <persName>Kaus</persName> heard of the Coming of <persName>Afrasiyab</persName>
12.4.16	<xref n="Mohl 12.4.65"/>How <persName>Siyawush</persName> led forth the Host
12.4.17	<xref n="Mohl 12.4.66"/>The Letter of <persName>Siyawush</persName> to <persName>Kai Kaus</persName>
12.4.18	<xref n="Mohl 12.4.67"/>The Answer of <persName>Kai Kaus</persName> to the Letter of <persName>Siyawush</persName>
12.4.19	<xref n="Mohl 12.4.68"/>How <persName>Afrasiyab</persName> had a Dream and was afraid
12.4.20	<xref n="Mohl 12.4.69"/>How <persName>Afrasiyab</persName> inquired of the Sages concerning his Dream
12.4.21	<xref n="Mohl 12.4.70"/>How <persName>Afrasiyab</persName> took Counsel with the Nobles
12.4.22	<xref n="Mohl 12.4.71"/>How <persName>Garsiwaz</persName> came to <persName>Siyawush</persName>
12.4.23	<xref n="Mohl 12.4.72"/>How <persName>Siyawush</persName> made a Treaty with <persName>Afrasiyab</persName>
12.4.24	<xref n="Mohl 12.4.73"/>How <persName>Siyawush</persName> sent <persName>Rustam</persName> to <persName>Kaus</persName>
12.4.25	<xref n="Mohl 12.4.74"/>How <persName>Rustam</persName> gave the Message to <persName>Kaus</persName>
12.4.26	<xref n="Mohl 12.4.75"/>How <persName>Kaus</persName> sent <persName>Rustam</persName> to <placeName>Sistan</placeName>
12.4.27	<xref n="Mohl 12.4.76"/>The Answer of <persName>Kaus</persName> to the Letter of <persName>Siyawush</persName>
12.4.28	<xref n="Mohl 12.4.77"/>How <persName>Siyawush</persName> took Counsel with <persName>Bahram</persName> and <persName>Zanga</persName>
12.4.29	<xref n="Mohl 12.4.78"/>How <persName>Zanga</persName> went to <persName>Afrasiyab</persName>
12.4.30	<xref n="Mohl 12.4.79"/>How <persName>Afrasiyab</persName> wrote to <persName>Siyawush</persName>
12.4.31	<xref n="Mohl 12.4.80"/>How <persName>Siyawush</persName> gave up the Host to <persName>Bahram</persName>
12.4.32	<xref n="Mohl 12.4.81"/>The Interview of <persName>Siyawush</persName> with <persName>Afrasiyab</persName>
12.4.33	<xref n="Mohl 12.4.82"/>How <persName>Siyawush</persName> displayed his Prowess before <persName>Afrasiyab</persName>
12.4.34	<xref n="Mohl 12.4.83"/>How <persName>Afrasiyab</persName> and <persName>Siyawush</persName> went to the Chase
12.4.35	<xref n="Mohl 12.4.84"/>How <persName>Piran</persName> gave his Daughter to <persName>Siyawush</persName>
12.4.36	<xref n="Mohl 12.4.85"/>How <persName>Piran</persName> spake to <persName>Siyawush</persName> about <persName>Farangis</persName>
12.4.37	<xref n="Mohl 12.4.86"/>How <persName>Piran</persName> spake with <persName>Afrasiyab</persName>
12.4.38	<xref n="Mohl 12.4.87"/>The Wedding of <persName>Farangis</persName> and <persName>Siyawush</persName>
12.4.39	<xref n="Mohl 12.4.88"/>How <persName>Afrasiyab</persName> bestowed a Province on <persName>Siyawush</persName>
12.4.40	<xref n="Mohl 12.4.89"/>How <persName>Siyawush</persName> built <placeName>Gang</placeName>-<sic>dizh</sic>
12.4.41	<xref n="Mohl 12.4.90"/>How <persName>Siyawush</persName> discoursed with <persName>Piran</persName> about the Future
12.4.42	<xref n="Mohl 12.4.91"/>How <persName>Afrasiyab</persName> sent <persName>Piran</persName> into the Provinces
12.4.43	<xref n="Mohl 12.4.92"/>How <persName>Siyawush</persName> built <placeName>Siyawushgird</placeName>
12.4.44	<xref n="Mohl 12.4.93"/>How <persName>Piran</persName> visited <persName>Siyawush</persName>
12.4.45	<xref n="Mohl 12.4.94"/>How <persName>Afrasiyab</persName> sent <persName>Garsiwaz</persName> to <persName>Siyawush</persName>
12.4.46	<xref n="Mohl 12.4.95"/>The Birth of Farad the Son of <persName>Siyawush</persName>
12.4.47	<xref n="Mohl 12.4.96"/>How <persName>Siyawush</persName> played at Polo
12.4.48	<xref n="Mohl 12.4.97"/>How <persName>Garsiwaz</persName> returned and spake Evil before <persName>Afrasiyab</persName>
12.4.49	<xref n="Mohl 12.4.98"/>How <persName>Garsiwaz</persName> returned to <persName>Siyawush</persName>
12.4.50	<xref n="Mohl 12.4.99"/>The Letter of <persName>Siyawush</persName> to <persName>Afrasiyab</persName>
12.4.51	<xref n="Mohl 12.4.100"/>How <persName>Afrasiyab</persName> came to fight with <persName>Siyawush</persName>
12.4.52	<xref n="Mohl 12.4.101"/>How <persName>Siyawush</persName> had a Dream
12.4.53	<xref n="Mohl 12.4.102"/>The Parting Words of <persName>Siyawush</persName> to <persName>Farangis</persName>
12.4.54	<xref n="Mohl 12.4.103"/>How <persName>Siyawush</persName> was taken by <persName>Afrasiyab</persName>
12.4.55	<xref n="Mohl 12.4.104"/>How <persName>Farangis</persName> bewailed herself before <persName>Afrasiyab</persName>
12.4.56	<xref n="Mohl 12.4.105"/>How <persName>Siyawush</persName> was slain by <persName>Gurwi</persName>
12.4.57	<xref n="Mohl 12.4.106"/>How <persName>Piran</persName> saved <persName>Farangis</persName>
12.4.58	<xref n="Mohl 12.4.107"/>The Birth of <persName>Kai Khusrau</persName>
12.4.59	<xref n="Mohl 12.4.108"/>How <persName>Piran</persName> entrusted <persName>Kai Khusrau</persName> to the Shepherds
12.4.60	<xref n="Mohl 12.4.109"/>How <persName>Piran</persName> brought <persName>Kai Khusrau</persName> before <persName>Afrasiyab</persName>
12.4.61	<xref n="Mohl 12.4.110"/>How <persName>Kai Khusrau</persName> went to <persName>Siyawush</persName>
12.5.1	<xref n="Mohl 12.5.111"/><persName>Firdausi</persName>'s Lament over his old Age
12.5.2	<xref n="Mohl 12.5.112"/>How <persName>Kaus</persName> heard of the Case of <persName>Siyawush</persName>
12.5.3	<xref n="Mohl 12.5.113"/>How <persName>Rustam</persName> came to <persName>Kaus</persName>
12.5.4	<xref n="Mohl 12.5.114"/>How <persName>Rustam</persName> slew <persName>Sudaba</persName> and led forth the Host
12.5.5	<xref n="Mohl 12.5.115"/>How <persName>Faramarz</persName> slew <persName>Warazad</persName>
12.5.6	<xref n="Mohl 12.5.116"/>How <persName>Surkha</persName> led his Troops to fight with <persName>Rustam</persName>
12.5.7	<xref n="Mohl 12.5.117"/>How <persName>Afrasiyab</persName> led forth the Host to avenge his Son
12.5.8	<xref n="Mohl 12.5.118"/>How <persName>Pilsam</persName> was slain by <persName>Rustam</persName>
12.5.9	<xref n="Mohl 12.5.119"/>How <persName>Afrasiyab</persName> fled from <persName>Rustam</persName>
12.5.10	<xref n="Mohl 12.5.120"/>How <persName>Afrasiyab</persName> sent Khusrau to <placeName>Khutan</placeName>
12.5.11	<xref n="Mohl 12.5.121"/>How <persName>Rustam</persName> reigned over <placeName>Turan</placeName> for Seven Years
12.5.12	<xref n="Mohl 12.5.122"/>How <persName>Zawara</persName> went to the Hunting-ground of <persName>Siyawush</persName>
12.5.13	<xref n="Mohl 12.5.123"/>How <persName>Rustam</persName> harried the Land of <placeName>Turan</placeName>
12.5.14	<xref n="Mohl 12.5.124"/>How <persName>Rustam</persName> returned to <placeName>Iran</placeName>
12.5.15	<xref n="Mohl 12.5.125"/>How <persName>Gudarz</persName> had a Dream of <persName>Kai Khusrau</persName>
12.5.16	<xref n="Mohl 12.5.126"/>How <persName>Giv</persName> went to <placeName>Turan</placeName> in Quest of <persName>Kai Khusrau</persName>
12.5.17	<xref n="Mohl 12.5.127"/>The Finding of <persName>Kai Khusrau</persName>
12.5.18	<xref n="Mohl 12.5.128"/>How <persName>Giv</persName> and <persName>Kai Khusrau</persName> went to <placeName>Siyawushgird</placeName>
12.5.19	<xref n="Mohl 12.5.129"/>How <persName>Kai Khusrau</persName> won <rs type="horse">Bihzad</rs>
12.5.20	<xref n="Mohl 12.5.130"/>How <persName>Farangis</persName> went with <persName>Kai Khusrau</persName> and <persName>Giv</persName> to <placeName>Iran</placeName>
